TRI Incident Number,ForceType,InjuryLevel,Member Injured,Rank Grouped,Assignment,Member Gender,Race
2021065962030,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962031,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962034,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962038,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962040,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962040,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962042,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962047,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962050,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962054,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962054,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962060,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962062,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962062,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962064,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962068,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962081,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962085,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962086,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962086,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962090,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962090,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962095,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962096,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962096,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962100,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962105,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962107,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962108,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962108,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962113,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962113,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962118,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962122,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962122,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962123,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962126,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962128,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962129,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962131,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962133,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962135,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962135,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962139,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962140,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962144,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962145,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962146,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962148,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962151,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962155,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962157,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962161,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962163,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962166,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962168,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962171,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962172,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962172,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962176,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962179,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962179,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962182,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962183,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962185,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962185,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962186,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962193,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962193,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962194,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962197,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962202,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962202,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962202,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962203,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962204,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962204,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962206,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962207,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962209,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962217,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962217,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962220,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962221,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962227,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962227,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962228,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962231,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962235,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962238,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962238,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962240,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962241,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962241,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962251,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962254,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962255,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962256,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962259,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962261,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962268,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962270,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962275,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962276,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962279,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962285,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962286,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962286,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962287,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962288,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962299,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962301,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021065962305,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962016,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962017,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962017,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962018,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962020,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962020,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962021,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962025,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962025,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962025,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962029,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962033,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962033,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962037,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962041,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962043,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962044,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962045,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962047,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962047,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962049,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962049,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962051,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962056,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962056,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962064,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962065,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962068,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962072,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962072,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962074,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962074,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962075,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962076,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962076,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962078,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962086,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962089,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962094,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962096,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962097,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962101,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962105,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962106,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962106,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962107,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962107,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962110,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962111,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962111,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962112,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962114,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962115,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962115,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962115,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962124,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962127,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962129,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962129,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962130,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962130,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962136,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962136,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962137,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962138,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962138,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962146,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962148,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962148,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962148,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962152,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962154,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962155,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962156,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962158,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962159,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962160,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962163,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962169,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962169,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962169,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962178,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962181,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962181,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962183,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962190,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962191,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962192,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962195,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962198,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962201,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962207,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962207,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962208,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962211,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962211,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962211,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962212,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962212,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962212,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962212,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962220,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962220,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962224,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962227,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962227,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021066962228,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962028,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962028,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962028,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962029,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962032,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962039,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962042,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962045,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962048,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962052,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962053,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962053,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962056,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962056,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962057,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962058,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962059,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962061,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
2021067962067,Physical Force,No Injury,N,Police Officer,SECTOR/RESPONSE AUTO,MALE,HISPANIC
